xi,ti,ci
0.4,9.2,0.003167009
0.4,9.3,0.003182655
0.4,9.400001,0.003198681
0.4,9.5,0.003215352
0.4,9.6,0.003232468
0.4,9.7,0.003250202
0.4,9.8,0.003268362
0.4,9.9,0.003287177
0.4,10,0.003306511
0.5,0,-0.000236342
0.5,0.1,-0.000115321
0.5,0.2,0.000199353
0.5,0.3,0.00055975
0.5,0.4,0.000904643
0.5,0.5,0.00121166
0.5,0.6,0.001476001
0.5,0.7,0.001700338
0.5,0.8,0.001889559
0.5,0.90000004,0.002049548
0.5,1,0.00218551
0.5,1.1,0.002301964
0.5,1.2,0.002402929
0.5,1.3,0.002491309
0.5,1.4,0.002569744
0.5,1.5,0.002640317
0.5,1.6,0.002704292
0.5,1.7,0.002763285
0.5,1.8000001,0.002817953
0.5,1.9,0.002868966
0.5,2,0.002917093
0.5,2.1,0.002962772
0.5,2.2,0.003005968
0.5,2.3,0.003047385
0.5,2.4,0.003087089
0.5,2.5,0.003124716
0.5,2.6000001,0.003161094
0.5,2.7,0.003195997
0.5,2.8000002,0.003229371
0.5,2.9,0.003261388
0.5,3,0.003292248
0.5,3.1000001,0.00332183
0.5,3.2,0.003349871
0.5,3.3,0.00337699
0.5,3.4,0.003402843
0.5,3.5,0.003427641
0.5,3.6000001,0.003451285
0.5,3.7,0.003473708
0.5,3.8,0.003495405
0.5,3.9,0.003515799
0.5,4,0.003535268
0.5,4.1,0.003553859
0.5,4.2,0.003571742
0.5,4.3,0.003588683
0.5,4.4,0.003604707
0.5,4.5,0.003620226
0.5,4.6,0.003634878
0.5,4.7,0.00364877
0.5,4.8,0.003662194
0.5,4.9,0.003674984
0.5,5,0.003687264
0.5,5.1000004,0.003699234
0.5,5.2000003,0.003710472
0.5,5.3,0.003721383
0.5,5.4,0.00373209
0.5,5.5,0.003742334
0.5,5.6,0.003752428
0.5,5.7,0.003762136
0.5,5.7999997,0.003771657
0.5,5.9,0.003781157
0.5,6,0.003790424
0.5,6.1,0.003799777
0.5,6.2,0.003808843
0.5,6.2999997,0.003817904
0.5,6.4,0.003827001
0.5,6.5,0.003836147
0.5,6.6,0.003845481
0.5,6.7000003,0.003854762
0.5,6.8,0.003864212
0.5,6.9,0.003873772
0.5,7,0.003883534
0.5,7.1,0.003893654
0.5,7.2,0.003903873
0.5,7.2999997,0.003914391
0.5,7.3999996,0.003925062
0.5,7.5,0.003936003
0.5,7.6,0.00394725
0.5,7.7,0.003958984
0.5,7.7999997,0.003970972
0.5,7.8999996,0.003983387
0.5,8,0.003995963
0.5,8.1,0.004009148
0.5,8.2,0.004022542
0.5,8.3,0.004036635
0.5,8.4,0.004050968
0.5,8.5,0.004065683
0.5,8.6,0.004080999
0.5,8.7,0.004096665
0.5,8.8,0.004112743
0.5,8.900001,0.004129497
0.5,9,0.004146706
0.5,9.1,0.004164333
0.5,9.2,0.004182571
0.5,9.3,0.00420111
0.5,9.400001,0.004220329
0.5,9.5,0.004239996
0.5,9.6,0.004260263
0.5,9.7,0.004280861
0.5,9.8,0.004302167
0.5,9.9,0.004323968
0.5,10,0.004346364
0.6,0,-8.57E-05
0.6,0.1,4.8185233e-05
0.6,0.2,0.000425943
0.6,0.3,0.000862098
0.6,0.4,0.001280491
0.6,0.5,0.001653481
0.6,0.6,0.001975134
0.6,0.7,0.00224816
0.6,0.8,0.002478917
0.6,0.90000004,0.002674074
0.6,1,0.002840118
0.6,1.1,0.002982314
0.6,1.2,0.003105557
0.6,1.3,0.003213344
0.6,1.4,0.003308824
0.6,1.5,0.003394519
0.6,1.6,0.003472158
0.6,1.7,0.003543394
0.6,1.8000001,0.003609219
0.6,1.9,0.003670614
0.6,2,0.003728388
0.6,2.1,0.003782893
0.6,2.2,0.003834704
0.6,2.3,0.003884088
0.6,2.4,0.003931331
0.6,2.5,0.003976417
0.6,2.6000001,0.00401976
0.6,2.7,0.004061367
0.6,2.8000002,0.004101079
0.6,2.9,0.004139589
0.6,3,0.004176536
0.6,3.1000001,0.004211926
0.6,3.2,0.004245862
0.6,3.3,0.004278675
0.6,3.4,0.004309937
0.6,3.5,0.004339952
0.6,3.6000001,0.004368859
0.6,3.7,0.004396542
0.6,3.8,0.004423149
0.6,3.9,0.004448539
0.6,4,0.004472844
0.6,4.1,0.004496276
0.6,4.2,0.004518706
0.6,4.3,0.004540088
0.6,4.4,0.004560682
0.6,4.5,0.004580572
0.6,4.6,0.00459959
0.6,4.7,0.004617732
0.6,4.8,0.00463534
0.6,4.9,0.004652389
0.6,5,0.00466867
0.6,5.1000004,0.004684631
0.6,5.2000003,0.004699824
0.6,5.3,0.00471473
0.6,5.4,0.004729145
0.6,5.5,0.004743272
0.6,5.6,0.00475709
0.6,5.7,0.004770445
0.6,5.7999997,0.004783772
0.6,5.9,0.004796706
0.6,6,0.004809604
0.6,6.1,0.00482245
0.6,6.2,0.004835047
0.6,6.2999997,0.004847709
0.6,6.4,0.004860231
0.6,6.5,0.004872838
0.6,6.6,0.004885401
0.6,6.7000003,0.004898183
0.6,6.8,0.004910842
0.6,6.9,0.004923794
0.6,7,0.004936942
0.6,7.1,0.004950037
0.6,7.2,0.004963547
0.6,7.2999997,0.004977291
0.6,7.3999996,0.004991226
0.6,7.5,0.00500548
0.6,7.6,0.005019934
0.6,7.7,0.005034745
0.6,7.7999997,0.005049822
0.6,7.8999996,0.005065408
0.6,8,0.005081235
0.6,8.1,0.005097442
0.6,8.2,0.005114139
0.6,8.3,0.005131102
0.6,8.4,0.00514861
0.6,8.5,0.005166561
0.6,8.6,0.00518484
0.6,8.7,0.005203634
0.6,8.8,0.00522291
0.6,8.900001,0.005242687
0.6,9,0.005262784
0.6,9.1,0.005283567
0.6,9.2,0.005304887
0.6,9.3,0.005326598
0.6,9.400001,0.00534878
0.6,9.5,0.005371536
0.6,9.6,0.005394893
0.6,9.7,0.005418589
0.6,9.8,0.005443025
0.6,9.9,0.005467797
0.6,10,0.005493233
0.7,0,5.4672128e-05
0.7,0.1,0.000197352
0.7,0.2,0.00064896
0.7,0.3,0.001175972
0.7,0.4,0.001682705
0.7,0.5,0.002134892
0.7,0.6,0.002525073
0.7,0.7,0.002856661
0.7,0.8,0.003136898
0.7,0.90000004,0.003374129
0.7,1,0.003575842
0.7,1.1,0.003748545
0.7,1.2,0.003897962
0.7,1.3,0.004028491
0.7,1.4,0.004144008
0.7,1.5,0.004247255
0.7,1.6,0.00434057
0.7,1.7,0.004426015
0.7,1.8000001,0.004504676
0.7,1.9,0.004577861
0.7,2,0.004646489
0.7,2.1,0.004711081
0.7,2.2,0.004772326
0.7,2.3,0.004830565
0.7,2.4,0.004886219
0.7,2.5,0.004939452
0.7,2.6000001,0.004990329
0.7,2.7,0.005039251
0.7,2.8000002,0.005086296
0.7,2.9,0.005131412
0.7,3,0.005174968
0.7,3.1000001,0.005216853
